id,name,lat,lon
58593192,unnamed location,40.4541469,23.0062777
58593193,unnamed location,40.4561766,23.0039240
58593194,unnamed location,40.4586849,23.0005378
58593195,unnamed location,40.4600502,22.9991551
58593196,unnamed location,40.4622425,22.9981301
58593198,unnamed location,40.4626539,22.9980529
58593200,unnamed location,40.4648141,22.9976790
58593201,unnamed location,40.4662180,22.9973099
58593202,unnamed location,40.4687484,22.9958105
58593203,unnamed location,40.4699479,22.9947768
58593204,unnamed location,40.4719976,22.9933221
58593205,unnamed location,40.4738422,22.9927866
58593206,unnamed location,40.4744344,22.9927515
58593207,unnamed location,40.4811977,22.9925871
58593208,unnamed location,40.4828893,22.9928232
58593209,unnamed location,40.4850876,22.9947002
58593210,unnamed location,40.4858467,22.9957574
58593211,unnamed location,40.4873982,22.9973871
58593212,unnamed location,40.4882469,22.9978856
58593213,unnamed location,40.4896107,22.9983566
58593214,unnamed location,40.4913682,22.9989456
134046934,unnamed location,40.4819019,22.9925858
134046935,unnamed location,40.4824111,22.9926690
134046936,unnamed location,40.4833516,22.9930378
134046937,unnamed location,40.4840258,22.9935015
134046938,unnamed location,40.4843075,22.9937488
134046940,unnamed location,40.4861437,22.9961504
134046942,unnamed location,40.4866241,22.9967213
134046943,unnamed location,40.4870796,22.9971518
134046946,unnamed location,40.4884672,22.9979788
134046947,unnamed location,40.4887051,22.9980660
134046949,unnamed location,40.4921389,22.9992912
134048090,unnamed location,40.4777362,22.9927731
134048091,unnamed location,40.4791412,22.9927330
134048092,unnamed location,40.4801532,22.9926643
134048094,unnamed location,40.4814776,22.9925740
134048095,unnamed location,40.4821234,22.9926143
134048097,unnamed location,40.4826522,22.9927380
134048853,unnamed location,40.4744339,22.9929046
134048855,unnamed location,40.4773393,22.9929475
134056056,unnamed location,40.4786381,22.9929188
134056058,unnamed location,40.4792778,22.9928854
134056060,unnamed location,40.4798696,22.9928374
134056061,unnamed location,40.4809222,22.9927419
134056062,unnamed location,40.4816009,22.9927102
134056064,unnamed location,40.4819041,22.9927352
134056066,unnamed location,40.4821900,22.9927759
134056067,unnamed location,40.4825165,22.9928531
134056069,unnamed location,40.4829683,22.9930051
134056070,unnamed location,40.4834900,22.9932909
134056073,unnamed location,40.4839691,22.9936445
134056075,unnamed location,40.4843652,22.9940196
134056078,unnamed location,40.4847192,22.9944286
134056081,unnamed location,40.4849823,22.9947873
134056085,unnamed location,40.4860221,22.9962177
134056087,unnamed location,40.4864408,22.9967280
134056089,unnamed location,40.4868745,22.9971644
134056090,unnamed location,40.4873558,22.9975485
134056093,unnamed location,40.4876357,22.9977341
134056094,unnamed location,40.4883742,22.9980979
134056095,unnamed location,40.4891412,22.9983606
134056098,unnamed location,40.4902021,22.9986849
134056100,unnamed location,40.4911074,22.9989928
134056103,unnamed location,40.4915509,22.9991755
134056106,unnamed location,40.4919662,22.9993624
134056108,unnamed location,40.4923704,22.9995639
134933448,unnamed location,40.4590716,23.0000603
134933450,unnamed location,40.4593155,22.9998095
134933452,unnamed location,40.4597798,22.9993696
134933454,unnamed location,40.4620215,22.9981772
134933461,unnamed location,40.4655846,22.9975073
134933464,unnamed location,40.4659111,22.9974129
134933465,unnamed location,40.4669115,22.9970143
134933469,unnamed location,40.4674986,22.9967047
134933470,unnamed location,40.4680106,22.9963796
134933472,unnamed location,40.4684098,22.9960871
134933478,unnamed location,40.4706344,22.9941913
134933480,unnamed location,40.4710318,22.9938942
