id,name,lat,lon
78695,,37.5969196,23.0706507
78696,,37.5959824,23.0711898
78697,,37.5958124,23.0712944
78698,,37.5956785,23.0716243
78699,,37.5957626,23.0729767
78700,,37.595789,23.0736092
78702,,37.5958719,23.0751742
78703,,37.5962471,23.075464
78705,,37.596735,23.0751117
78706,,37.5966916,23.0742842
78707,,37.5966437,23.0734856
78708,,37.5965706,23.0721795
78716,,37.5973829,23.0704066
78718,,37.5976549,23.0701652
78796,,37.5069379,23.4585963
78797,,37.5062495,23.4582443
78798,,37.506502,23.4578377
78799,,37.5069669,23.4572266
78800,,37.507293,23.456601
78801,,37.5076291,23.4556595
78803,,37.5082088,23.4583518
78806,,37.5084051,23.4583301
78810,,37.5087486,23.4583451
78814,,37.507471,23.458894
78816,,37.5077961,23.4591275
78819,,37.5078429,23.4594359
78824,,37.5057705,23.4579365
78825,,37.50545,23.4576248
78826,,37.5043251,23.4564913
78827,,37.504246,23.4567316
78829,,37.5039174,23.456488
78841,,37.5040777,23.4579829
78848,,37.5025756,23.4591485
78854,,37.5038713,23.4584863
78855,,37.5032875,23.4589944
78857,,37.5034565,23.4576116
78874,,37.5032342,23.4556717
78875,,37.5025881,23.4552484
78876,,37.5023006,23.4550539
78877,,37.5012551,23.4543715
78878,,37.5007598,23.4539928
78879,,37.5006731,23.4537962
78880,,37.50062,23.4526764
78882,,37.5005785,23.4525423
78888,,37.5000768,23.4515738
78890,,37.4997735,23.4513225
78894,,37.4995095,23.4512577
78906,,37.5016802,23.4601749
78907,,37.5012182,23.4604562
78908,,37.5006222,23.4605001
78909,,37.4999528,23.4601948
78945,,37.5118258,23.4584472
78948,,37.5123386,23.4585169
78951,,37.5127075,23.4583855
78954,,37.5113717,23.4583416
78955,,37.5109069,23.4584946
78956,,37.5105784,23.4589111
78957,,37.5104852,23.4595051
78958,,37.510479,23.4604454
78959,,37.5104812,23.4607351
78960,,37.5103588,23.460943
78961,,37.5102425,23.4609451
78962,,37.5101567,23.4607083
78963,,37.510212,23.4597453
78964,,37.5101971,23.4592639
78965,,37.5100493,23.4587724
78966,,37.5096202,23.4582204
78967,,37.5099173,23.458474
80127,,37.4996834,23.4602337
80128,,37.4993182,23.4604753
80129,,37.4989831,23.4607811
80130,,37.4985053,23.4613148
80131,,37.4983255,23.4615884
80132,,37.4981053,23.4620605
80133,,37.4978978,23.4623394
80134,,37.4973903,23.4627847
80135,,37.4969274,23.4631495
80136,,37.4965132,23.4633981
80137,,37.4959773,23.4634941
80141,,37.4971342,23.4589542
80142,,37.4963575,23.4598859
80143,,37.4962897,23.4600064
80144,,37.4958609,23.4604636
80146,,37.4948309,23.4611227
80147,,37.4943312,23.4614597
80148,,37.4940396,23.4617775
80149,,37.493962,23.4620739
80150,,37.4939364,23.4629175
80151,,37.4941333,23.4631857
80152,,37.4948419,23.4635183
80153,,37.495388,23.4635601
80154,,37.49843,23.4524649
80155,,37.4982074,23.4535807
100997,,37.6839549,22.7165512
100998,,37.6839581,22.7187901
101000,,37.6838603,22.7190857
101721,,37.6927806,22.7206203
101722,,37.6915738,22.7202337
101724,,37.68823,22.7197063
101725,,37.686822,22.7194865
101726,,37.6848316,22.7192333
101727,,37.6811268,22.7191474
101734,,37.6840255,22.7158856
101735,,37.6845175,22.7113833
101736,,37.6798021,22.7192277
101740,,37.6732861,22.7196733
101742,,37.6707657,22.7202773
101743,,37.6694708,22.7214432
101744,,37.6676444,22.7228371
101745,,37.6667356,22.7234166
101749,,37.6546355,22.7273817
101750,,37.652275,22.7281462
101751,,37.6476257,22.7295868
101752,,37.6473326,22.7295385
101753,,37.646168,22.7291052
101758,,37.6420148,22.7294207
156130,,37.5673731,22.7961433
156134,,37.5657563,22.7930906
242134,,37.9751383,23.7254469
242135,,37.9756041,23.7257187
242136,,37.9758139,23.7247156
242137,,37.9749018,23.7264951
441183,Αθήνα,37.9755648,23.7348324
1565990,,37.5079631,23.454849
1565996,,37.5079574,23.4543485
1566000,,37.5078228,23.4539188
1566005,,37.5077508,23.4532342
1566017,,37.5077895,23.4524858
1566025,,37.5079703,23.4512895
1566137,,37.5076639,23.4505331
1566144,,37.5075462,23.4497345
1566151,,37.50751,23.4488843
1566157,,37.5076717,23.4483961
